Rank,Name,Final score,Country,Industry
355,Aperam,76.28,Luxembourg,"Manufacture and processing of materials, metals and paper"
356,Suez,76.22,France,Utilities
357,Danwood,76.17,Poland,Business Services and Supplies
358,Jet2.com,76.15,United Kingdom,Transportation and Logistics
359,Flint Group,75.94,Luxembourg,Media and Advertising
360,Knapp,75.94,Austria,"Engineering, Manufacturing"
361,TUI,75.91,Germany,Travel and Leisure
362,ByteDance,75.82,Ireland,"IT, Internet, Software and Services"
363,Circle K,75.81,Norway,Retail
364,Hegelmann Group,75.76,Germany,Transportation and Logistics
365,BSH Group,75.73,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
366,MED-EL,75.7,Austria,Healthcare Equipment and Services
367,Kuehne + Nagel,75.57,Switzerland,Transportation and Logistics
368,Belimo,75.54,Switzerland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
369,Vestas,75.54,Denmark,"Engineering, Manufacturing"
370,Voestalpine,75.53,Austria,"Manufacture and Processing of Materials, Metals and Paper"
371,Intercom,75.53,Ireland,"IT, Internet, Software and Services"
372,Alcon,75.5,Switzerland,Drugs and Biotechnology
373,Accor,75.49,France,Travel and Leisure
374,Apetito,75.49,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
375,Aareal Bank,75.42,Germany,Banking and Financial Services
376,Grundfos,75.42,Denmark,"Engineering, Manufacturing"
377,Douglas Group,75.42,Germany,Retail
378,Claas,75.4,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
379,Aldi SÃ¼d,75.39,Germany,Retail
380,Virgin Group,75.36,United Kingdom,"Telecommunications Services, Cable Supplier"
381,Panasonic,75.34,Netherlands,"Semiconductors, Electronics, Electrical Engineering, Hardware"
382,NTT Data,75.3,United Kingdom,"IT, Internet, Software and Services"
383,Generali,75.3,Italy,Insurance
384,StÃ¤ubli,75.26,Switzerland,"Engineering, Manufacturing"
385,Wacker Neuson,75.18,Germany,"Engineering, Manufacturing"
386,Stiebel Eltron,75.18,Germany,"Engineering, Manufacturing"
387,Mapfre,75.17,Spain,Insurance
388,Mango,75.11,Spain,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
389,Groupe SII,75.11,France,"IT, Internet, Software and Services"
390,Danieli,75.07,Italy,"Manufacture and processing of materials, metals and paper"
391,Unicredit,75.07,Italy,Banking and Financial Services
392,Viessmann,75.05,Germany,"Engineering, Manufacturing"
393,Natuzzi,75.02,Italy,Packaged Goods
394,Bobst Group,75.01,Switzerland,"Engineering, Manufacturing"
395,Genesys,74.98,United Kingdom,"IT, Internet, Software and Services"
396,Valmet,74.92,Finland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
397,Die Schweizerische Post,74.91,Switzerland,Transportation and Logistics
398,Fincons Group,74.87,Italy,"IT, Internet, Software and Services"
399,ADP,74.87,France,Business Services and Supplies
400,Heraeus,74.84,Germany,"Oil and Gas Operations, Mining, and Chemicals"
401,Fujitsu,74.82,United Kingdom,"IT, Internet, Software and Services"
402,AbbVie,74.82,France,Drugs and Biotechnology
403,BP,74.81,United Kingdom,"Oil and Gas Operations, Mining, and Chemicals"
404,Ericsson,74.81,Sweden,"Semiconductors, Electronics, Electrical Engineering, Hardware"
405,Specsavers,74.71,United Kingdom,Retail
406,Kering,74.7,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
407,Sappi,74.65,Belgium,"Manufacture and Processing of Materials, Metals and Paper"
408,Carglass,74.63,France,Automotive (Producers and Suppliers)
409,Bridgestone,74.62,Belgium,Automotive (Producers and Suppliers)
410,Groupe Pomona,74.61,France,Wholesale
411,Epam Systems,74.53,Switzerland,"IT, Internet, Software and Services"
412,Boots,74.5,United Kingdom,Retail
