Rank,Name,Final score,Country,Industry
1,Skanska,100,Sweden,Construction
2,Microsoft,99.85,Ireland,"IT, Internet, Software and Services"
3,Airbus,97.78,France,"Aerospace, Defence, Manufacture of Transport Equipment"
4,Naval Group,97.12,France,"Aerospace, Defence, Manufacture of Transport Equipment"
5,Google,96.07,Ireland,"IT, Internet, Software and Services"
6,Bionorica,94.75,Germany,Drugs and Biotechnology
7,Cisco,93.81,Netherlands,"IT, Internet, Software and Services"
8,Frosta,93.69,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
9,OneAdvanced,93.61,United Kingdom,"IT, Internet, Software and Services"
10,ArianeGroup,93.3,France,"Aerospace, Defence, Manufacture of Transport Equipment"
11,Samsung,93.04,United Kingdom,"Semiconductors, Electronics, Electrical Engineering, Hardware"
12,Wacker Chemie,92.75,Germany,"Oil and Gas Operations, Mining, and Chemicals"
13,Webasto,92.72,Germany,Automotive (Producers and Suppliers)
14,Zurich,92.4,Switzerland,Insurance
15,John Deere,92.29,Germany,Automotive (Producers and Suppliers)
16,Automobili Lamborghini,92.27,Italy,Automotive (Producers and Suppliers)
17,Andritz,92.25,Austria,"Engineering, Manufacturing"
18,Sennheiser,92.17,Germany,Packaged Goods
19,Safran Group,92.05,France,"Aerospace, Defence, Manufacture of Transport Equipment"
20,BBVA,91.68,Spain,Banking and Financial Services
21,TotalEnergies,91.59,France,"Oil and Gas Operations, Mining, and Chemicals"
22,Spie batignolles,91.37,France,Construction
23,Lilly,91.32,Ireland,Drugs and Biotechnology
24,Zeiss,91.3,Germany,Healthcare Equipment and Services
25,Legendre,91.14,France,Construction
26,Rolex,91.14,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
27,Lâ€™OrÃ©al,91.13,France,Packaged Goods
28,Thales Group,91.05,France,"Aerospace, Defence, Manufacture of Transport Equipment"
29,Informatica,91.01,Ireland,"IT, Internet, Software and Services"
30,BMW,90.96,Germany,Automotive (Producers and Suppliers)
31,SAP,90.9,Germany,"IT, Internet, Software and Services"
32,BÃ¼hler,90.77,Switzerland,"Engineering, Manufacturing"
33,SNF,90.74,France,Drugs and Biotechnology
34,Designer Group,90.74,Ireland,Construction
35,Legrand,90.67,France,"Semiconductors, Electronics, Electrical Engineering, Hardware"
36,Husqvarna,90.63,Sweden,"Semiconductors, Electronics, Electrical Engineering, Hardware"
37,Indeed,90.4,Ireland,"IT, Internet, Software and Services"
38,Zucchetti,90.25,Italy,"IT, Internet, Software and Services"
39,Carlsberg,90.23,Denmark,"Food, Soft Beverages, Alcohol and Tobacco"
40,GlaxoSmithKline,90.08,United Kingdom,Drugs and Biotechnology
41,NCC,90.03,Sweden,Construction
42,Victorinox,90,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
43,Boehringer Ingelheim,89.95,Germany,Drugs and Biotechnology
44,Procter & Gamble,89.89,Switzerland,Packaged Goods
45,Rolls-Royce,89.81,United Kingdom,"Aerospace, Defence, Manufacture of Transport Equipment"
46,Marriott International,89.79,Germany,Travel and Leisure
47,"Groupe Rocher (Yves Rocher, Petit Bateau)",89.65,France,Packaged Goods
48,Novo Nordisk,89.57,Denmark,Drugs and Biotechnology
49,IBM,89.54,Germany,"IT, Internet, Software and Services"
50,Gruppo Campari,89.39,Italy,"Food, Soft Beverages, Alcohol and Tobacco"
51,Chanel,89.24,United Kingdom,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
52,Roche,89.22,Switzerland,Drugs and Biotechnology
53,Apple,89.1,Ireland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
54,Dell Technologies,88.93,United Kingdom,"IT, Internet, Software and Services"
55,Avio Aero,88.81,Italy,"Aerospace, Defence, Manufacture of Transport Equipment"
56,Carey Glass,88.53,Ireland,"Manufacture and Processing of Materials, Metals and Paper"
57,River Island,88.45,United Kingdom,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
58,Nvidia,88.39,Germany,"IT, Internet, Software and Services"
59,Porsche,88.29,Germany,Automotive (Producers and Suppliers)
60,AMAC Aerospace,88.25,Switzerland,"Aerospace, Defence, Manufacture of Transport Equipment"
61,Eiffage Group,88.22,France,Construction
62,Asus,88.2,Netherlands,"Semiconductors, Electronics, Electrical Engineering, Hardware"
63,Telus Digital,88.13,Austria,"IT, Internet, Software and Services"
64,DM-Drogerie Markt,88.07,Germany,Retail
65,Fromageries Bel,88.06,France,"Food, Soft Beverages, Alcohol and Tobacco"
66,Volvo Car Group,87.78,Sweden,Automotive (Producers and Suppliers)
67,Dow,87.68,Switzerland,"Oil and Gas Operations, Mining, and Chemicals"
68,Aviva,87.64,United Kingdom,Insurance
69,Zoetis,87.63,Ireland,Drugs and Biotechnology
70,Novartis,87.57,Switzerland,Drugs and Biotechnology
71,Philips,87.56,Netherlands,Healthcare Equipment and Services
72,Swisscom,87.55,Switzerland,"Telecommunications Services, Cable Supplier"
73,Adobe,87.47,Ireland,"IT, Internet, Software and Services"
74,Liebherr,87.45,Switzerland,"Aerospace, Defence, Manufacture of Transport Equipment"
75,Leonardo,87.33,Italy,"Aerospace, Defence, Manufacture of Transport Equipment"
76,Michelin,87.32,France,Automotive (Producers and Suppliers)
77,NGE,87.3,France,Construction
78,CovÃ©a Group,87.28,France,Insurance
79,Radisson Hotel Group,87.12,Belgium,Travel and Leisure
80,Decathlon,87.12,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
81,Stihl,87.1,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
82,Volkswagen,87.08,Germany,Automotive (Producers and Suppliers)
83,Symrise,87.05,Germany,"Oil and Gas Operations, Mining, and Chemicals"
84,Boston Scientific,87.05,France,Healthcare Equipment and Services
85,EDF,86.88,France,Utilities
86,KÃ¤rcher,86.86,Germany,Packaged Goods
87,Perfetti Van Melle,86.7,Netherlands,"Food, Soft Beverages, Alcohol and Tobacco"
88,Schneider Electric,86.65,France,"Semiconductors, Electronics, Electrical Engineering, Hardware"
89,AstraZeneca,86.65,United Kingdom,Drugs and Biotechnology
90,adidas,86.61,Germany,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
91,Hitachi,86.59,United Kingdom,"Semiconductors, Electronics, Electrical Engineering, Hardware"
92,Sisk Group,86.54,Ireland,Construction
93,Todâ€™s,86.5,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
94,Siemens,86.46,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
95,Tetra Pak International,86.46,Switzerland,"Manufacture and Processing of Materials, Metals and Paper"
96,Fraunhofer Gesellschaft,86.41,Germany,"IT, Internet, Software and Services"
97,King & Moffatt Building Services,86.31,Ireland,Construction
98,Goodyear Dunlop,86.31,Belgium,Automotive (Producers and Suppliers)
99,Angelini Industries,86.2,Italy,Drugs and Biotechnology
100,Sanofi,86.19,France,Drugs and Biotechnology
101,ITK Engineering,86.19,Germany,Automotive (Producers and Suppliers)
102,Sage,86.13,United Kingdom,"IT, Internet, Software and Services"
103,Systra,86.09,France,"Engineering, Manufacturing"
104,Danone,85.95,France,"Food, Soft Beverages, Alcohol and Tobacco"
105,Nike,85.94,Netherlands,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
106,Sony,85.89,United Kingdom,"Semiconductors, Electronics, Electrical Engineering, Hardware"
107,KONE,85.87,Finland,"Engineering, Manufacturing"
108,Witzenmann,85.85,Germany,Automotive (Producers and Suppliers)
109,Hochtief,85.83,Germany,Construction
110,Enel Group,85.8,Italy,Utilities
111,Club Med,85.71,France,Travel and Leisure
112,Webuild,85.64,Italy,Construction
113,Banca Mediolanum,85.61,Italy,Banking and Financial Services
114,UPM,85.6,Finland,"Manufacture and Processing of Materials, Metals and Paper"
115,Telia Company,85.53,Sweden,"Telecommunications Services, Cable Supplier"
116,Marti,85.49,Switzerland,Construction
117,Scania,85.46,Sweden,Automotive (Producers and Suppliers)
118,Solvay,85.45,Belgium,"Oil and Gas Operations, Mining, and Chemicals"
119,Arkema,85.43,France,"Oil and Gas Operations, Mining, and Chemicals"
120,Ikea,85.41,Netherlands,Retail
121,Atlas Copco,85.39,Sweden,"Engineering, Manufacturing"
122,Telenor,85.3,Norway,"Telecommunications Services, Cable Supplier"
123,Porr,85.25,Austria,Construction
124,MBDA,85.15,France,"Aerospace, Defence, Manufacture of Transport Equipment"
125,BiomÃ©rieux,85.06,France,Drugs and Biotechnology
126,Ferrero,85.04,Luxembourg,"Food, Soft Beverages, Alcohol and Tobacco"
127,ABB,85,Switzerland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
128,Mars,84.99,Denmark,"Food, Soft Beverages, Alcohol and Tobacco"
129,Prada Group,84.93,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
130,Cosmo Consult,84.69,Germany,Consulting and Accounting
131,Engie,84.66,France,Utilities
132,Air Liquide,84.64,France,"Oil and Gas Operations, Mining, and Chemicals"
133,Phoenix Contact,84.53,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
134,Sick,84.49,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
135,Banque CIC,84.44,France,Banking and Financial Services
136,Leroy Merlin,84.39,France,Retail
137,Merck,84.37,Germany,Drugs and Biotechnology
138,Mapei,84.36,Italy,Drugs and Biotechnology
139,Dalli Group,84.27,Germany,Drugs and Biotechnology
140,PayPal,84.23,Luxembourg,Banking and Financial Services
141,SEW Usocome,84.2,Germany,"Manufacture and processing of materials, metals and paper"
142,Bosch,84.17,Germany,Automotive (Producers and Suppliers)
143,Red Bull,84.14,Austria,"Food, Soft Beverages, Alcohol and Tobacco"
144,Huawei,84.11,Germany,"Telecommunications Services, Cable Supplier"
145,Schweizerische Bundesbahnen (SBB),84.06,Switzerland,Transportation and Logistics
146,Buzzi Unicem,84.01,Italy,"Manufacture and processing of materials, metals and paper"
147,ITV,83.95,United Kingdom,Media and Advertising
148,Admiral Group,83.95,United Kingdom,Insurance
149,Deutz,83.94,Germany,"Engineering, Manufacturing"
150,Hilton Hotels & Resorts,83.87,United Kingdom,Travel and Leisure
151,Fincantieri,83.82,Italy,Automotive (Producers and Suppliers)
152,RWE,83.78,Germany,Utilities
153,Barilla,83.72,Italy,"Food, Soft Beverages, Alcohol and Tobacco"
154,Cargo24,83.7,Switzerland,Transportation and Logistics
155,Bausch + Lomb,83.69,United Kingdom,Healthcare Equipment and Services
156,Microchip Technology,83.69,Ireland,"IT, Internet, Software and Services"
157,CrÃ©dit Mutuel,83.64,France,Banking and Financial Services
158,JLR,83.53,United Kingdom,Automotive (Producers and Suppliers)
159,Abanca,83.51,Spain,Banking and Financial Services
160,Schindler,83.46,Switzerland,"Engineering, Manufacturing"
161,HermÃ¨s,83.46,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
162,New Balance,83.44,United Kingdom,Retail
163,Lindt & SprÃ¼ngli,83.39,Switzerland,"Food, Soft Beverages, Alcohol and Tobacco"
164,Demant,83.35,Denmark,Healthcare Equipment and Services
165,Nandoâ€™s,83.32,United Kingdom,Restaurants
166,Budimex,83.31,Poland,Construction
167,Giorgio Armani,83.25,Italy,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
168,Rheinmetall,83.23,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
169,Foot Locker,83.17,Netherlands,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
170,Dunnes Stores,83.13,Ireland,Retail
171,Datev,83.04,Germany,"IT, Internet, Software and Services"
172,Orlen,83.03,Poland,"Oil and Gas Operations, Mining, and Chemicals"
173,Synergie,82.97,France,Business Services and Supplies
174,Wood,82.95,United Kingdom,"Oil and Gas Operations, Mining, and Chemicals"
175,Barclays Bank,82.94,United Kingdom,Banking and Financial Services
176,Canon,82.91,United Kingdom,"Semiconductors, Electronics, Electrical Engineering, Hardware"
177,Mastercard,82.89,Belgium,Banking and Financial Services
178,Ferrari,82.88,Italy,Automotive (Producers and Suppliers)
179,Erste Group,82.88,Austria,Banking and Financial Services
180,Saint-Gobain,82.86,France,"Manufacture and Processing of Materials, Metals and Paper"
181,Vinci Group,82.82,France,Transportation and Logistics
182,Bahlsen,82.63,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
183,Abus,82.63,Germany,"Engineering, Manufacturing"
184,Oracle,82.62,United Kingdom,"IT, Internet, Software and Services"
185,Saica,82.6,Spain,"Manufacture and Processing of Materials, Metals and Paper"
186,Bank of Ireland,82.58,Ireland,Banking and Financial Services
187,Western Union,82.52,Austria,Banking and Financial Services
188,Jack Wolfskin,82.51,Germany,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
189,Vattenfall,82.5,Sweden,Utilities
190,Continental,82.48,Germany,Automotive (Producers and Suppliers)
191,SMA BTP,82.45,Germany,Insurance
192,PUMA,82.43,Germany,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
193,Sacmi,82.43,Italy,"Engineering, Manufacturing"
194,The Boston Consulting Group (BCG),82.4,United Kingdom,Consulting and Accounting
195,"BD (Becton, Dickinson and Co.)",82.39,Switzerland,Healthcare Equipment and Services
196,Heineken,82.29,Netherlands,"Food, Soft Beverages, Alcohol and Tobacco"
197,Laboratoires Pierre Fabre,82.17,France,Drugs and Biotechnology
198,Fedrigoni,82.17,Italy,fedrigoni.com
199,BAE Systems,82.14,United Kingdom,"Aerospace, Defence, Manufacture of Transport Equipment"
200,Version1 Software,81.99,United Kingdom,"IT, Internet, Software and Services"
201,SKF Group,81.93,Sweden,"Manufacture and Processing of Materials, Metals and Paper"
202,Allianz,81.86,Germany,Insurance
203,Alstom,81.86,France,"Aerospace, Defence, Manufacture of Transport Equipment"
204,LinkedIn,81.85,Ireland,"IT, Internet, Software and Services"
205,Jungheinrich,81.83,Germany,"Engineering, Manufacturing"
206,HP (Hewlett-Packard),81.66,Switzerland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
207,Pizzarotti,81.62,Italy,Construction
208,Bombardier,81.61,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
209,Takeda,81.58,Switzerland,Drugs and Biotechnology
210,EssilorLuxottica,81.5,France,Healthcare Equipment and Services
211,LyondellBasell,81.49,Netherlands,"Manufacture and processing of materials, metals and paper"
212,Henkel,81.48,Germany,Packaged Goods
213,Grand Frais,81.45,France,Retail
214,Kiabi,81.35,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
215,3M,81.3,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
216,MondelÄ“z International,81.26,Switzerland,"Food, Soft Beverages, Alcohol and Tobacco"
217,Experian,81.25,Ireland,"IT, Internet, Software and Services"
218,DZ Bank Group,81.23,Germany,Banking and Financial Services
219,Airbnb,81.15,Ireland,Travel and Leisure
220,Agence France Presse,81.14,France,Media and Advertising
221,Intesa Sanpaolo,81.08,Italy,Banking and Financial Services
222,Suir Engineering,81.06,Ireland,"Engineering, Manufacturing"
223,Hilti,80.97,Liechtenstein,Wholesale
224,Harting Technologiegruppe,80.96,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
225,Abbott,80.95,Germany,Healthcare Equipment and Services
226,CNH Industrial,80.93,United Kingdom,Construction
